sample_id,genome_file,resistance_status,genes_detected
GCF_057074205.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057074205.1/GCF_057074205.1_ASM5707420v1_genomic.fna,RESISTANT,mecA
GCF_025559265.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_025559265.1/GCF_025559265.1_ASM2555926v1_genomic.fna,SUSCEPTIBLE,
GCF_003432345.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_003432345.1/GCF_003432345.1_ASM343234v1_genomic.fna,RESISTANT,mecA
GCF_030014065.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030014065.1/GCF_030014065.1_ASM3001406v1_genomic.fna,RESISTANT,mecA
GCF_030717565.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030717565.1/GCF_030717565.1_ASM3071756v1_genomic.fna,SUSCEPTIBLE,
GCF_058182265.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_058182265.1/GCF_058182265.1_LaCa_36_v1_genomic.fna,SUSCEPTIBLE,
GCF_053165835.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053165835.1/GCF_053165835.1_ASM5316583v1_genomic.fna,SUSCEPTIBLE,
GCF_057624935.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_057624935.1/GCF_057624935.1_PC14_genomic.fna,SUSCEPTIBLE,
GCF_020034535.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_020034535.1/GCF_020034535.1_ASM2003453v1_genomic.fna,RESISTANT,mecA
GCF_964290415.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_964290415.1/GCF_964290415.1_23S01974-1_genomic.fna,RESISTANT,mecA
GCF_030534055.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_030534055.1/GCF_030534055.1_ASM3053405v1_genomic.fna,SUSCEPTIBLE,
GCF_009912475.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_009912475.1/GCF_009912475.1_ASM991247v1_genomic.fna,SUSCEPTIBLE,
GCF_053107635.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053107635.1/GCF_053107635.1_ASM5310763v1_genomic.fna,SUSCEPTIBLE,
GCF_050882005.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_050882005.1/GCF_050882005.1_ASM5088200v1_genomic.fna,SUSCEPTIBLE,
GCF_053503355.1,../data/raw/genomic/s_aureus/ncbi_dataset/data/GCF_053503355.1/GCF_053503355.1_ASM5350335v1_genomic.fna,RESISTANT,mecA
